20 02:41:18.019  INFO  main FuncIface getValue[381] Call Function Net_IsEncapsulation
20 02:41:18.030  INFO  main ConnectionHandler run: Completed processing request 4
20 02:41:18.092  INFO  main ConnectionHandler nextRequest: request (4) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:18.096  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC GetPowerCapabilities
20 02:41:18.096  INFO  main FuncIface getValue[381] Call Function GetPowerCapabilities
20 02:41:18.097  INFO  main FuncIface GetPowerCapabilities begin
20 02:41:18.099  INFO  main ConnectionHandler nextRequest: request (5) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=38
20 02:41:18.100  INFO  main FuncIface aim_config_get_bool bool_platform_is_blade=0 rc=1
20 02:41:18.106  INFO  main DataIfaceMgr getData[179] Calling ADAM_TABLE s/hw_health/hw_health_agr/index,type,count
20 02:41:18.113  INFO  main FuncIface IPMI_DoIPMICmd(2e 81 4d 4f 00 20 00 82 10 01 )->00 4d 4f 00 02 , rc=0
20 02:41:18.122  INFO  main FuncIface IPMI_DoIPMICmd(2e 81 4d 4f 00 20 00 82 03 01 )->00 4d 4f 00 01 , rc=0
20 02:41:18.127  INFO  main FuncIface IPMI_DoIPMICmd(2e 81 4d 4f 00 20 00 82 02 01 )->00 4d 4f 00 00 , rc=0
20 02:41:18.134  INFO  main FuncIface IPMI failed response=193
20 02:41:18.135  INFO  main FuncIface GetPowerCapabilities end
20 02:41:18.142  INFO  main ConnectionHandler run: Completed processing request 4
20 02:41:18.332  INFO  main ConnectionHandler nextRequest: request (5) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=36
20 02:41:18.339  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/alertCfg/status/criticalCount
20 02:41:19.100  INFO  main DataIfaceMgr log has been initialized
20 02:41:19.100  INFO  main ConnectionHandler startProcessing: Starting to process requests in handler.
20 02:41:19.110  INFO  main ConnectionHandler run: Call to handler run method.
20 02:41:19.113  INFO  main ConnectionHandler nextRequest: request (1) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=36
20 02:41:19.117  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/prodName
20 02:41:27.903  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/alertCfg/status/warningCount
20 02:41:28.537  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/config/server_properties/general_setting/system_name
20 02:41:28.566  INFO  main ConnectionHandler run: Completed processing request 5
20 02:41:28.566  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/power_state
20 02:41:28.598  INFO  main ConnectionHandler run: Completed processing request 5
20 02:41:29.249  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/S3Enable_state
20 02:41:29.297  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/system_state
20 02:41:29.303  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/osinet/config/Global/HostName
20 02:41:29.732  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immOsFailures
20 02:41:29.732  INFO  main FuncIface getValue[381] Call Function immOsFailures
20 02:41:29.759  INFO  main ConnectionHandler run: Completed processing request 1
20 02:41:29.881  INFO  main ConnectionHandler nextRequest: request (6) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=43
20 02:41:29.884  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC EVT_GetActiveEvents
20 02:41:29.884  INFO  main FuncIface getTable[586] Call Function EVT_GetActiveEvents
20 02:41:29.886  INFO  main FuncIface EVT_GetActiveEvents[835] CEM_GetActiveEventListArray iRet=0, u16Count=0
20 02:41:29.911  INFO  main ConnectionHandler run: Completed processing request 6
20 02:41:29.953  INFO  main ConnectionHandler nextRequest: request (6) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=34
20 02:41:29.958  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/prodName
20 02:41:29.959  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/typemodel
20 02:41:29.960  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/serialNo
20 02:41:29.963  INFO  main ConnectionHandler nextRequest: request (7) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=45
20 02:41:29.966  INFO  main DataIfaceMgr getData[179] Calling ADAM_TABLE s/hw_health/hw_health_agr/index,type,status,count
20 02:41:29.962  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/model
20 02:41:29.968  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machine/uuid
20 02:41:29.969  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/power_state
20 02:41:30.122  INFO  main ConnectionHandler run: Completed processing request 7
20 02:41:30.123  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/system_state
20 02:41:30.131  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/power_on_hours
20 02:41:30.135  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/restart_count
20 02:41:30.146  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/temperatures/status/ambientTempReadingStr
20 02:41:31.207  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/lightpathstatus/other/identification
20 02:41:31.858  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/lightpathstatus/other/info
20 02:41:31.860  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machinelabels/typemodellabel
20 02:41:31.924  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/vpd/machinelabels/serialnolabel
20 02:41:31.932  INFO  main ConnectionHandler run: Completed processing request 6
20 02:41:34.956  INFO  main ConnectionHandler nextRequest: request (8) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=42
20 02:41:34.958  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/power_state
20 02:41:35.006  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/Server_Info/status/system_state
